emoji,article,views,rank,year,month,day,date
💔,Bill_Gates,295535,3,2021,5,3,2021-05-03
💔,Bill_Gates,595234,3,2021,5,4,2021-05-04
🪅,Cinco_de_Mayo,372062,3,2021,5,5,2021-05-05
📺,David_Berkowitz,172587,3,2021,5,6,2021-05-06
🎮,Resident_Evil_Village,233606,3,2021,5,7,2021-05-07
☠️,Tawny_Kitaen,387895,3,2021,5,8,2021-05-08
📺,Elon_Musk,811822,3,2021,5,9,2021-05-09
📺,Elon_Musk,421118,3,2021,5,10,2021-05-10
📺,Elon_Musk,226407,3,2021,5,11,2021-05-11
🇵🇸,Israeli–Palestinian_conflict,377518,3,2021,5,12,2021-05-12
🇮🇱,Israeli–Palestinian_conflict,370069,3,2021,5,13,2021-05-13
📺,Radhe_(2021_film),287776,3,2021,5,14,2021-05-14
📺,Halston,363063,3,2021,5,15,2021-05-15
📺,Halston,428471,3,2021,5,16,2021-05-16
📺,Miss_Universe_2020,446350,3,2021,5,17,2021-05-17
📺,Eurovision_Song_Contest_2021,245718,3,2021,5,18,2021-05-18
☠️,Charles_Grodin,271277,3,2021,5,19,2021-05-19
☠️,Kentaro_Miura,571162,3,2021,5,20,2021-05-20
📺,Army_of_the_Dead,366310,3,2021,5,21,2021-05-21
📺,Eurovision_Song_Contest_2021,657156,3,2021,5,22,2021-05-22
📺,Eurovision_Song_Contest_2021,545545,3,2021,5,23,2021-05-23
📺,Eternals_(film),427957,3,2021,5,24,2021-05-24
📷,Elliot_Page,339278,3,2021,5,25,2021-05-25
⚽,Villarreal_CF,257628,3,2021,5,26,2021-05-26
📺,Friends:_The_Reunion,245743,3,2021,5,27,2021-05-27
📺,Matthew_Perry,368191,3,2021,5,28,2021-05-28
📺,Matthew_Perry,260987,3,2021,5,29,2021-05-29
💑,Boris_Johnson,313543,3,2021,5,30,2021-05-30
📺,Mare_of_Easttown,304557,3,2021,5,31,2021-05-31
🔴,Tulsa_race_massacre,350315,3,2021,6,1,2021-06-01
🎨,Frank_Kameny,609543,3,2021,6,2,2021-06-02
💾,Microsoft_Office,181136,3,2021,6,3,2021-06-03
📺,The_Family_Man_(Indian_TV_series),273197,3,2021,6,4,2021-06-04
📺,The_Conjuring:_The_Devil_Made_Me_Do_It,349898,3,2021,6,5,2021-06-05
☠️,T._B._Joshua,479410,3,2021,6,6,2021-06-06
🤼‍♂️,Logan_Paul,538413,3,2021,6,7,2021-06-07
💾,Microsoft_Office,168962,3,2021,6,8,2021-06-08
🎨,Shirley_Temple,603128,3,2021,6,9,2021-06-09
💾,Microsoft_Office,252275,3,2021,6,10,2021-06-10
⚽,UEFA_Euro_2020,513944,3,2021,6,11,2021-06-11
⚽,Christian_Eriksen,1543729,2,2021,6,12,2021-06-12
🎾,Novak_Djokovic,471046,3,2021,6,13,2021-06-13
⚽,UEFA_Euro_2020,344667,3,2021,6,14,2021-06-14
⚽,UEFA_Euro_2020,326329,3,2021,6,15,2021-06-15
⚽,UEFA_Euro_2020,343250,3,2021,6,16,2021-06-16
🇺🇸,Juneteenth,678808,3,2021,6,17,2021-06-17
🇺🇸,Juneteenth,745415,3,2021,6,18,2021-06-18
☠️,Milkha_Singh,682848,3,2021,6,19,2021-06-19
⚽,UEFA_Euro_2020,446657,3,2021,6,20,2021-06-20
⚽,UEFA_Euro_2020,633186,3,2021,6,21,2021-06-21
⚽,UEFA_Euro_2020,620854,3,2021,6,22,2021-06-22
⚽,UEFA_Euro_2020,1166002,3,2021,6,23,2021-06-23
☠️,John_McAfee,1028112,3,2021,6,24,2021-06-24
🎓,Benjamin_Bolger,305366,3,2021,6,25,2021-06-25
🚫,Matt_Hancock,372584,3,2021,6,26,2021-06-26
⚽,UEFA_Euro_2020,461158,3,2021,6,27,2021-06-27
⚽,UEFA_Euro_2020,523491,3,2021,6,28,2021-06-28
⚽,UEFA_Euro_2020,644671,3,2021,6,29,2021-06-29
